Age_Group,Gender,City_Tier,Occupation,Platform,Gamer_Identity,Mechanical_Keyboard,Setup_Value,Preferred_Aesthetic,Keycap_Material,Color_Theme,Aesthetic_Importance,Interested_Keycaps,Interested_Cables,Interested_DeskMat,Interested_RGB,Discount_Preference,Expected_Spending,Purchase_Interest
31-40,Male,Tier 2,Working Professional,Multiple,1,No,1L-2L,RGB,PBT,RGB,2,0,0,0,1,Bundle,2146.0,Very unlikely
16-20,Female,Tier 1,Freelancer,PC,5,No,<20k,RGB,PBT,White,2,1,1,0,1,10-20%,3651.0,Neutral
21-25,Male,Tier 1,Freelancer,PC,1,Yes,<20k,Gaming,PBT,RGB,2,0,1,1,1,Free Accessory,2044.0,Very unlikely
26-30,Male,Tier 1,Student,PC,5,No,20k-50k,Gaming,Not Sure,Dark,3,1,1,1,1,5-10%,4672.0,Neutral
21-25,Male,Tier 3,Working Professional,PC,4,No,20k-50k,Gaming,Metal,Custom,5,1,0,0,1,10-20%,3839.0,Neutral
21-25,Male,Tier 3,Student,Mobile,3,Yes,2L+,Professional,ABS,Anime,2,1,1,1,1,5-10%,3667.0,Unlikely
26-30,Female,Tier 1,Working Professional,Multiple,5,No,20k-50k,Minimal,Metal,Anime,2,1,0,0,1,Bundle,3425.0,Neutral
21-25,Male,Tier 3,Working Professional,PC,4,Yes,2L+,RGB,Metal,White,2,0,1,1,0,10-20%,3137.0,Unlikely
26-30,Female,Tier 3,Working Professional,Mobile,2,Yes,50k-1L,RGB,ABS,Anime,5,0,0,0,0,Free Accessory,3270.0,Unlikely
16-20,Female,Tier 3,Freelancer,Console,4,No,50k-1L,Professional,PBT,Dark,1,1,0,0,0,10-20%,3122.0,Unlikely
26-30,Male,Tier 1,Working Professional,PC,2,Yes,20k-50k,RGB,ABS,Dark,2,1,0,0,1,5-10%,2412.0,Unlikely
26-30,Female,Tier 2,Freelancer,Mobile,5,Yes,50k-1L,RGB,PBT,White,2,0,1,1,0,Bundle,4189.0,Unlikely
31-40,Male,Tier 3,Working Professional,Console,2,No,1L-2L,Gaming,ABS,Anime,2,1,1,0,1,5-10%,3163.0,Unlikely
26-30,Prefer not to say,Tier 2,Freelancer,Mobile,4,No,1L-2L,Gaming,Not Sure,RGB,1,1,0,0,0,5-10%,3775.0,Unlikely
26-30,Male,Tier 1,Content Creator,Mobile,3,No,1L-2L,Minimal,Metal,RGB,2,1,1,1,1,20-30%,3030.0,Unlikely
16-20,Male,Tier 2,Freelancer,PC,1,No,50k-1L,RGB,PBT,Custom,1,0,0,0,0,5-10%,1762.0,Very unlikely
31-40,Male,Tier 2,Freelancer,Multiple,1,Yes,1L-2L,Anime,Metal,White,1,0,1,1,0,Bundle,2722.0,Very unlikely
40+,Male,Tier 2,Student,Mobile,3,No,2L+,RGB,PBT,Custom,4,1,1,1,0,Free Accessory,4114.0,Neutral
16-20,Male,Tier 1,Working Professional,Console,1,No,<20k,RGB,ABS,RGB,4,1,0,1,0,20-30%,1417.0,Unlikely
16-20,Female,Tier 1,Content Creator,Mobile,5,No,20k-50k,Minimal,ABS,RGB,2,0,0,0,0,5-10%,4086.0,Unlikely
40+,Male,Tier 3,Student,PC,5,No,2L+,Anime,ABS,RGB,3,0,1,1,0,10-20%,3997.0,Neutral
26-30,Male,Tier 3,Working Professional,Multiple,4,No,1L-2L,RGB,Not Sure,Custom,4,0,0,1,0,20-30%,4568.0,Unlikely
21-25,Female,Tier 1,Content Creator,Mobile,4,Yes,<20k,Anime,ABS,White,4,0,0,1,1,Bundle,4289.0,Unlikely
31-40,Male,Rural,Content Creator,PC,2,No,20k-50k,Gaming,ABS,Dark,3,0,1,0,1,10-20%,3434.0,Unlikely
21-25,Prefer not to say,Tier 1,Content Creator,PC,4,No,2L+,Gaming,Not Sure,Dark,5,0,0,1,0,Bundle,3336.0,Neutral
40+,Female,Tier 2,Working Professional,Mobile,5,Yes,20k-50k,Anime,Metal,RGB,2,0,1,0,0,10-20%,3991.0,Unlikely
16-20,Prefer not to say,Tier 3,Content Creator,PC,4,Yes,50k-1L,RGB,Metal,White,5,0,1,1,0,Free Accessory,4922.0,Neutral
16-20,Female,Tier 3,Content Creator,PC,1,No,1L-2L,Anime,PBT,White,5,1,0,1,0,Bundle,1714.0,Unlikely
31-40,Male,Tier 3,Student,Console,2,Yes,2L+,Anime,Metal,Anime,1,1,0,0,1,10-20%,3639.0,Very unlikely
16-20,Male,Tier 1,Freelancer,PC,2,Yes,2L+,Gaming,PBT,Anime,1,0,0,0,1,Bundle,2993.0,Very unlikely
16-20,Female,Tier 3,Working Professional,PC,5,No,<20k,Anime,PBT,Custom,2,1,1,0,0,20-30%,3641.0,Neutral
31-40,Male,Tier 1,Freelancer,PC,4,No,<20k,Professional,Metal,Anime,3,0,0,1,0,Bundle,3548.0,Unlikely
31-40,Male,Tier 2,Student,PC,1,No,<20k,Professional,Metal,Custom,1,1,1,1,0,Bundle,2126.0,Very unlikely
40+,Male,Tier 2,Freelancer,Mobile,4,No,20k-50k,Gaming,Not Sure,Dark,4,0,0,0,0,10-20%,3729.0,Unlikely
16-20,Prefer not to say,Tier 2,Content Creator,Console,3,No,1L-2L,RGB,PBT,RGB,2,0,0,0,1,Bundle,3502.0,Very unlikely
16-20,Male,Tier 1,Content Creator,PC,4,No,20k-50k,RGB,Metal,White,5,1,1,0,1,Free Accessory,4803.0,Neutral
40+,Male,Tier 3,Working Professional,PC,5,Yes,1L-2L,Gaming,Metal,Dark,2,1,0,0,1,5-10%,3395.0,Neutral
26-30,Male,Tier 1,Working Professional,Console,4,No,2L+,RGB,Not Sure,Dark,1,1,0,0,1,20-30%,3367.0,Unlikely
26-30,Male,Tier 1,Working Professional,PC,2,No,20k-50k,Minimal,Metal,Custom,3,1,1,1,0,10-20%,2385.0,Unlikely
26-30,Male,Tier 2,Student,PC,1,Yes,20k-50k,Professional,ABS,RGB,5,1,0,1,1,Bundle,2975.0,Unlikely
40+,Male,Tier 2,Working Professional,PC,5,Yes,20k-50k,Minimal,ABS,Custom,3,0,0,0,0,Bundle,4142.0,Unlikely
16-20,Male,Tier 3,Student,Mobile,3,No,50k-1L,Minimal,PBT,Dark,2,0,1,0,1,Bundle,3609.0,Unlikely
40+,Female,Tier 1,Content Creator,Mobile,1,Yes,1L-2L,Minimal,Not Sure,White,3,0,0,1,1,20-30%,2598.0,Very unlikely
40+,Male,Tier 1,Freelancer,Mobile,1,Yes,1L-2L,Gaming,Metal,Anime,3,1,0,0,0,5-10%,1902.0,Unlikely
26-30,Female,Tier 3,Content Creator,Mobile,2,No,20k-50k,Minimal,PBT,Custom,2,0,1,0,1,Free Accessory,3537.0,Very unlikely
21-25,Female,Tier 2,Content Creator,Mobile,2,No,50k-1L,Anime,Metal,Dark,5,0,0,0,0,Free Accessory,4130.0,Unlikely
16-20,Male,Tier 1,Content Creator,Console,2,No,20k-50k,RGB,ABS,Anime,3,1,0,0,0,10-20%,2976.0,Unlikely
26-30,Male,Tier 2,Working Professional,Mobile,5,Yes,1L-2L,Gaming,Metal,Anime,3,0,0,1,0,5-10%,3353.0,Unlikely
21-25,Male,Tier 2,Working Professional,PC,4,Yes,2L+,Anime,Metal,Dark,2,1,1,0,0,5-10%,5415.0,Unlikely
21-25,Female,Tier 2,Working Professional,Mobile,1,No,50k-1L,Anime,Metal,RGB,4,1,0,1,0,20-30%,2793.0,Unlikely
31-40,Male,Tier 2,Freelancer,Mobile,4,Yes,50k-1L,Professional,ABS,Dark,3,0,1,1,1,Bundle,3474.0,Unlikely
16-20,Male,Tier 3,Working Professional,Console,4,No,20k-50k,Professional,ABS,White,1,0,0,1,1,5-10%,3332.0,Very unlikely
21-25,Male,Tier 3,Student,PC,2,Yes,2L+,Anime,Not Sure,Anime,5,1,0,1,0,Bundle,3741.0,Neutral
26-30,Male,Tier 2,Content Creator,PC,4,No,1L-2L,Professional,ABS,White,3,1,0,0,0,20-30%,3138.0,Neutral
31-40,Male,Tier 1,Freelancer,Mobile,1,No,<20k,RGB,PBT,Custom,2,0,0,1,0,10-20%,2774.0,Very unlikely
16-20,Male,Tier 3,Freelancer,Mobile,1,Yes,1L-2L,RGB,Metal,Anime,1,0,0,0,0,10-20%,1519.0,Very unlikely
40+,Female,Tier 2,Freelancer,Mobile,3,No,1L-2L,Professional,ABS,RGB,2,0,0,0,1,Bundle,3063.0,Very unlikely
26-30,Male,Tier 2,Freelancer,PC,5,Yes,2L+,Minimal,PBT,Dark,3,0,0,1,0,Bundle,5057.0,Unlikely
21-25,Male,Tier 1,Freelancer,Mobile,4,Yes,50k-1L,Anime,ABS,Custom,1,0,0,0,1,5-10%,3387.0,Very unlikely
21-25,Male,Tier 3,Student,Console,5,No,1L-2L,RGB,Metal,White,5,1,0,0,1,20-30%,4155.0,Likely
26-30,Female,Tier 2,Content Creator,Mobile,5,Yes,50k-1L,Professional,PBT,Custom,5,1,1,1,0,10-20%,4250.0,Likely
21-25,Male,Tier 1,Freelancer,Console,5,No,2L+,Professional,ABS,RGB,5,0,0,1,1,5-10%,5249.0,Neutral
31-40,Female,Tier 2,Content Creator,Console,5,Yes,2L+,RGB,ABS,Dark,4,0,1,1,0,Free Accessory,4561.0,Neutral
16-20,Male,Tier 3,Working Professional,Console,1,Yes,20k-50k,RGB,PBT,Custom,2,0,1,0,0,5-10%,2318.0,Very unlikely
31-40,Male,Tier 1,Freelancer,Mobile,4,Yes,<20k,Minimal,Not Sure,White,3,0,0,0,1,Bundle,3577.0,Unlikely
21-25,Male,Rural,Freelancer,Multiple,3,No,2L+,Professional,PBT,Custom,1,0,1,1,0,Free Accessory,3072.0,Very unlikely
40+,Male,Tier 2,Content Creator,PC,5,No,2L+,Professional,PBT,Dark,2,1,1,1,0,5-10%,5087.0,Neutral
16-20,Male,Tier 2,Freelancer,PC,3,Yes,50k-1L,Gaming,PBT,Custom,3,1,1,0,1,20-30%,3467.0,Unlikely
16-20,Male,Tier 1,Freelancer,Multiple,1,Yes,2L+,Minimal,PBT,White,4,0,1,0,1,10-20%,2147.0,Unlikely
26-30,Female,Tier 1,Freelancer,Console,1,No,1L-2L,RGB,ABS,Dark,3,0,0,1,1,Free Accessory,583.0,Very unlikely
26-30,Male,Tier 3,Student,Mobile,2,No,20k-50k,RGB,PBT,RGB,2,0,1,0,0,20-30%,3261.0,Very unlikely
40+,Male,Tier 1,Student,Console,5,No,20k-50k,Anime,PBT,RGB,3,1,0,0,1,5-10%,4574.0,Neutral
16-20,Male,Tier 3,Freelancer,PC,2,No,1L-2L,RGB,Metal,Anime,1,1,1,1,1,Bundle,1816.0,Very unlikely
40+,Male,Tier 1,Student,Mobile,3,No,2L+,Professional,ABS,Custom,4,1,1,1,1,Bundle,3099.0,Neutral
26-30,Male,Tier 1,Working Professional,Mobile,4,Yes,<20k,RGB,Metal,White,1,0,1,0,1,20-30%,2799.0,Unlikely
26-30,Male,Tier 1,Freelancer,PC,2,Yes,2L+,Professional,ABS,Custom,4,0,0,0,0,Bundle,3276.0,Unlikely
16-20,Male,Tier 2,Working Professional,PC,1,Yes,20k-50k,Professional,Not Sure,Dark,4,1,0,0,1,10-20%,2095.0,Unlikely
31-40,Male,Rural,Content Creator,Mobile,5,No,<20k,Minimal,Not Sure,Anime,3,1,0,0,1,20-30%,4776.0,Neutral
21-25,Male,Tier 1,Working Professional,PC,3,No,50k-1L,RGB,ABS,White,1,0,0,1,0,20-30%,3587.0,Very unlikely
26-30,Male,Tier 1,Content Creator,Mobile,1,No,50k-1L,Minimal,Not Sure,Custom,4,1,1,0,1,Bundle,2156.0,Unlikely
26-30,Male,Tier 1,Freelancer,PC,4,Yes,2L+,Professional,Not Sure,White,4,1,0,1,1,20-30%,4070.0,Neutral
31-40,Male,Tier 2,Content Creator,Console,5,No,2L+,RGB,ABS,Dark,3,1,1,0,0,5-10%,3583.0,Neutral
31-40,Prefer not to say,Tier 2,Content Creator,Multiple,4,No,<20k,RGB,PBT,Anime,2,0,0,1,0,Free Accessory,3775.0,Unlikely
40+,Male,Tier 3,Working Professional,Mobile,4,No,<20k,Minimal,Metal,White,2,0,1,0,0,Free Accessory,4512.0,Unlikely
40+,Male,Tier 2,Working Professional,PC,5,Yes,2L+,Minimal,ABS,Dark,5,1,1,0,0,Bundle,5616.0,Likely
21-25,Male,Tier 2,Working Professional,Mobile,5,No,20k-50k,Professional,ABS,RGB,5,1,0,1,0,10-20%,4372.0,Likely
21-25,Female,Tier 1,Freelancer,PC,4,Yes,50k-1L,Professional,ABS,White,4,0,1,0,1,10-20%,3383.0,Neutral
16-20,Female,Rural,Freelancer,PC,3,No,<20k,RGB,Metal,Anime,2,0,1,1,1,Bundle,3014.0,Unlikely
40+,Male,Tier 1,Working Professional,Multiple,5,No,20k-50k,RGB,ABS,White,4,1,1,1,1,Bundle,4169.0,Neutral
26-30,Prefer not to say,Tier 1,Freelancer,Mobile,1,Yes,2L+,Gaming,Metal,White,1,1,1,1,1,20-30%,1889.0,Very unlikely
40+,Male,Tier 2,Freelancer,Mobile,2,No,1L-2L,Gaming,Metal,Dark,2,1,1,0,0,10-20%,2735.0,Unlikely
26-30,Male,Tier 2,Content Creator,PC,3,Yes,<20k,Anime,Not Sure,Custom,2,0,0,0,0,Free Accessory,2606.0,Very unlikely
31-40,Female,Tier 2,Content Creator,PC,5,No,1L-2L,Professional,PBT,Custom,2,1,0,0,0,Bundle,3618.0,Neutral
40+,Female,Tier 2,Working Professional,PC,5,Yes,20k-50k,Anime,Not Sure,White,5,1,1,1,1,Free Accessory,5024.0,Likely
31-40,Male,Tier 3,Freelancer,Console,3,No,50k-1L,Anime,ABS,Anime,3,1,1,0,0,Free Accessory,3122.0,Unlikely
21-25,Male,Tier 1,Content Creator,Mobile,2,No,20k-50k,Minimal,ABS,Anime,3,1,0,0,0,10-20%,2420.0,Unlikely
21-25,Male,Tier 3,Student,Console,4,Yes,50k-1L,Minimal,Metal,Dark,5,1,0,1,1,Free Accessory,3580.0,Neutral
16-20,Male,Tier 2,Freelancer,Mobile,1,No,20k-50k,Gaming,Not Sure,White,5,0,0,1,0,20-30%,2002.0,Unlikely
40+,Female,Tier 2,Student,PC,5,No,<20k,Anime,Metal,White,5,1,1,1,0,20-30%,5775.0,Likely
31-40,Male,Tier 2,Working Professional,PC,2,Yes,<20k,Gaming,Not Sure,Custom,3,1,1,1,1,10-20%,2249.0,Unlikely
26-30,Male,Tier 1,Freelancer,PC,1,No,1L-2L,Professional,Not Sure,Dark,4,0,0,0,1,20-30%,3170.0,Very unlikely
21-25,Male,Tier 3,Working Professional,PC,3,No,20k-50k,RGB,Not Sure,RGB,5,0,0,1,0,Bundle,3757.0,Unlikely
21-25,Male,Tier 2,Working Professional,PC,5,No,20k-50k,Minimal,Not Sure,Anime,4,1,0,1,1,10-20%,2744.0,Neutral
26-30,Male,Tier 1,Working Professional,Multiple,4,No,1L-2L,Professional,Not Sure,Anime,4,1,1,0,0,Free Accessory,4765.0,Neutral
31-40,Male,Tier 2,Working Professional,PC,3,No,2L+,Professional,PBT,White,1,1,1,0,1,Bundle,3566.0,Unlikely
31-40,Prefer not to say,Rural,Working Professional,Multiple,5,No,20k-50k,Minimal,ABS,Dark,3,0,1,1,1,10-20%,3358.0,Neutral
40+,Female,Tier 2,Freelancer,PC,2,No,20k-50k,Minimal,Not Sure,RGB,4,0,0,0,1,Free Accessory,2962.0,Unlikely
40+,Male,Tier 3,Student,Multiple,1,No,20k-50k,Anime,Not Sure,Anime,3,0,1,0,1,Free Accessory,1700.0,Very unlikely
16-20,Female,Tier 1,Freelancer,Console,1,Yes,2L+,Gaming,Metal,Dark,3,0,0,1,0,Free Accessory,3402.0,Very unlikely
21-25,Female,Tier 1,Freelancer,Multiple,5,No,<20k,Professional,ABS,RGB,1,1,0,0,0,Free Accessory,3041.0,Unlikely
40+,Female,Tier 1,Freelancer,PC,3,No,1L-2L,Anime,ABS,White,3,0,0,1,0,Free Accessory,2508.0,Unlikely
31-40,Male,Tier 2,Content Creator,Mobile,4,No,2L+,Anime,ABS,Custom,4,1,1,0,1,10-20%,3219.0,Neutral
26-30,Male,Tier 1,Content Creator,Multiple,2,No,50k-1L,Professional,Not Sure,Anime,2,0,1,0,0,20-30%,3232.0,Very unlikely
31-40,Male,Tier 1,Freelancer,PC,5,Yes,50k-1L,Professional,Metal,Anime,4,1,1,0,1,Free Accessory,5059.0,Neutral
21-25,Male,Tier 3,Student,PC,2,No,2L+,RGB,ABS,RGB,4,1,1,0,0,Bundle,4058.0,Unlikely
31-40,Male,Tier 3,Freelancer,PC,1,No,2L+,Gaming,Metal,Custom,3,1,1,1,1,10-20%,2216.0,Unlikely
16-20,Male,Tier 2,Working Professional,Multiple,4,No,<20k,Professional,PBT,Dark,4,0,1,1,1,5-10%,4074.0,Neutral
21-25,Male,Tier 1,Content Creator,Console,2,Yes,50k-1L,Minimal,PBT,White,2,1,0,0,1,20-30%,2612.0,Unlikely
26-30,Female,Tier 1,Content Creator,Console,5,Yes,1L-2L,RGB,Metal,Dark,3,1,0,0,0,Bundle,3767.0,Neutral
16-20,Male,Tier 1,Freelancer,PC,4,No,20k-50k,Gaming,Not Sure,RGB,5,1,1,0,0,Free Accessory,5342.0,Neutral
21-25,Male,Tier 2,Freelancer,PC,3,No,20k-50k,Minimal,ABS,Anime,4,0,1,1,0,10-20%,3830.0,Unlikely
26-30,Prefer not to say,Tier 3,Student,Mobile,5,Yes,<20k,Minimal,PBT,Anime,4,1,1,0,0,10-20%,4471.0,Neutral
16-20,Female,Tier 2,Student,PC,2,Yes,<20k,Gaming,PBT,Dark,1,0,0,1,1,Free Accessory,2553.0,Very unlikely
16-20,Female,Tier 1,Working Professional,Mobile,4,No,50k-1L,RGB,Metal,White,5,1,1,0,1,Bundle,4830.0,Neutral
21-25,Prefer not to say,Tier 2,Freelancer,Multiple,5,Yes,1L-2L,Minimal,Not Sure,RGB,5,0,0,1,1,10-20%,4118.0,Neutral
40+,Male,Tier 1,Freelancer,PC,4,Yes,1L-2L,Anime,Metal,White,2,1,1,1,1,20-30%,3634.0,Unlikely
16-20,Prefer not to say,Tier 1,Freelancer,Mobile,4,No,2L+,Gaming,Metal,RGB,5,1,0,0,0,Bundle,4498.0,Neutral
16-20,Male,Tier 2,Content Creator,PC,4,No,<20k,Gaming,Metal,White,1,1,0,1,0,Free Accessory,2828.0,Unlikely
26-30,Male,Tier 2,Working Professional,Mobile,2,Yes,20k-50k,Professional,Metal,Dark,2,1,1,0,1,Bundle,3710.0,Unlikely
31-40,Male,Tier 1,Student,PC,5,No,20k-50k,RGB,Metal,Custom,5,0,0,1,0,Bundle,4838.0,Neutral
21-25,Male,Tier 1,Content Creator,Mobile,1,Yes,50k-1L,Anime,Not Sure,RGB,2,1,0,1,1,5-10%,2600.0,Very unlikely
21-25,Male,Rural,Content Creator,PC,1,Yes,20k-50k,Anime,Metal,Dark,5,1,0,0,1,Free Accessory,3190.0,Unlikely
40+,Male,Tier 1,Content Creator,Console,2,Yes,1L-2L,Professional,Not Sure,Anime,5,1,0,1,1,20-30%,3508.0,Neutral
40+,Female,Tier 1,Content Creator,Console,2,No,1L-2L,Minimal,ABS,Anime,5,0,1,0,0,Free Accessory,3148.0,Unlikely
21-25,Male,Tier 1,Working Professional,PC,4,Yes,<20k,Minimal,ABS,White,4,0,0,1,1,5-10%,3862.0,Unlikely
40+,Male,Tier 1,Freelancer,Mobile,5,No,50k-1L,Anime,ABS,Anime,5,0,0,0,0,Free Accessory,4294.0,Neutral
26-30,Female,Tier 1,Student,PC,5,Yes,20k-50k,RGB,ABS,Custom,4,1,0,1,1,Free Accessory,5205.0,Neutral
21-25,Male,Tier 3,Student,Mobile,3,Yes,<20k,Minimal,PBT,RGB,3,0,1,1,0,20-30%,1845.0,Unlikely
40+,Male,Tier 1,Content Creator,PC,3,Yes,2L+,Gaming,Not Sure,White,1,0,1,0,0,5-10%,2091.0,Very unlikely
21-25,Male,Tier 2,Content Creator,Mobile,1,No,2L+,Professional,ABS,RGB,2,0,0,1,1,Free Accessory,2220.0,Very unlikely
31-40,Male,Tier 2,Working Professional,PC,3,No,20k-50k,RGB,PBT,RGB,2,1,1,0,1,Free Accessory,3006.0,Unlikely
16-20,Male,Tier 2,Content Creator,PC,3,No,20k-50k,Minimal,Not Sure,Dark,3,0,1,0,0,10-20%,4044.0,Unlikely
21-25,Female,Tier 3,Student,PC,1,No,20k-50k,Anime,PBT,Anime,5,1,1,1,0,Free Accessory,2693.0,Neutral
16-20,Male,Tier 3,Student,Mobile,1,Yes,1L-2L,Professional,PBT,RGB,1,0,1,0,0,20-30%,2336.0,Very unlikely
40+,Male,Tier 1,Freelancer,PC,3,No,20k-50k,Minimal,Metal,Custom,3,0,1,0,1,10-20%,2991.0,Unlikely
16-20,Female,Tier 3,Freelancer,Mobile,5,Yes,2L+,Anime,PBT,Custom,3,1,1,0,1,5-10%,4698.0,Neutral
21-25,Female,Tier 2,Student,Mobile,3,No,20k-50k,Minimal,PBT,Anime,2,1,1,0,0,Bundle,2407.0,Unlikely
31-40,Male,Rural,Student,PC,4,Yes,50k-1L,Professional,Not Sure,Anime,4,1,0,0,0,20-30%,4828.0,Neutral
40+,Male,Tier 2,Working Professional,Mobile,4,Yes,2L+,Gaming,PBT,White,4,0,0,0,0,5-10%,3809.0,Unlikely
21-25,Male,Rural,Working Professional,PC,4,No,50k-1L,Gaming,Metal,White,5,1,0,1,1,10-20%,3619.0,Neutral
40+,Male,Tier 3,Student,PC,2,No,2L+,Anime,ABS,White,5,1,1,0,1,Bundle,3456.0,Neutral
26-30,Male,Tier 1,Content Creator,Mobile,4,No,<20k,Gaming,ABS,Anime,3,0,0,0,0,5-10%,3628.0,Unlikely
16-20,Male,Tier 2,Freelancer,Mobile,5,No,2L+,Professional,Not Sure,RGB,5,1,1,1,0,20-30%,5189.0,Likely
26-30,Prefer not to say,Rural,Student,Mobile,2,No,2L+,Anime,Not Sure,Dark,4,1,1,0,1,10-20%,3220.0,Unlikely
21-25,Male,Tier 3,Content Creator,PC,2,Yes,50k-1L,Minimal,PBT,White,1,0,0,0,1,20-30%,3231.0,Very unlikely
31-40,Male,Tier 1,Student,PC,4,No,50k-1L,RGB,Not Sure,Dark,2,0,0,0,0,20-30%,2532.0,Unlikely
40+,Male,Tier 2,Freelancer,PC,3,No,2L+,Minimal,PBT,Custom,4,0,0,1,0,10-20%,3443.0,Unlikely
16-20,Male,Tier 1,Freelancer,Mobile,1,No,2L+,Professional,Not Sure,Anime,5,1,0,1,0,Free Accessory,3491.0,Unlikely
40+,Male,Tier 1,Working Professional,Console,3,Yes,1L-2L,Anime,ABS,Custom,2,0,1,0,1,20-30%,3457.0,Unlikely
21-25,Male,Tier 2,Working Professional,Mobile,3,No,<20k,Minimal,ABS,White,2,1,0,0,0,10-20%,3114.0,Unlikely
40+,Female,Tier 1,Working Professional,PC,2,Yes,<20k,Anime,ABS,RGB,3,0,0,1,0,20-30%,3489.0,Very unlikely
16-20,Male,Tier 3,Working Professional,PC,2,No,20k-50k,Gaming,ABS,White,5,0,1,0,0,Free Accessory,3178.0,Unlikely
21-25,Male,Tier 1,Freelancer,PC,2,No,2L+,RGB,PBT,Dark,3,0,1,1,1,10-20%,2438.0,Unlikely
40+,Male,Tier 3,Content Creator,PC,5,No,2L+,Professional,PBT,White,2,1,1,0,1,5-10%,2927.0,Neutral
31-40,Male,Tier 1,Content Creator,PC,5,No,2L+,Minimal,PBT,RGB,3,1,1,0,1,5-10%,4362.0,Neutral
21-25,Male,Tier 1,Content Creator,Mobile,1,No,2L+,RGB,ABS,RGB,5,1,1,1,0,5-10%,4118.0,Neutral
21-25,Male,Tier 1,Student,Mobile,2,Yes,<20k,Professional,Metal,Anime,4,1,0,0,1,Bundle,2313.0,Unlikely
31-40,Male,Tier 1,Working Professional,Console,4,No,50k-1L,Professional,ABS,Anime,1,1,0,1,1,20-30%,3470.0,Unlikely
26-30,Male,Tier 1,Working Professional,Console,2,No,1L-2L,Gaming,ABS,RGB,4,0,1,1,1,20-30%,3233.0,Unlikely
16-20,Female,Tier 1,Freelancer,PC,5,No,50k-1L,Anime,Metal,RGB,2,0,0,0,1,10-20%,3050.0,Unlikely
26-30,Prefer not to say,Tier 2,Freelancer,Mobile,2,No,50k-1L,Anime,Metal,Dark,4,0,1,0,1,Bundle,2824.0,Unlikely
40+,Female,Tier 1,Student,PC,5,No,<20k,RGB,Not Sure,White,3,0,0,1,0,20-30%,2992.0,Unlikely
31-40,Female,Tier 2,Student,Multiple,2,Yes,1L-2L,Gaming,ABS,Anime,5,1,0,1,0,10-20%,4023.0,Neutral
26-30,Male,Tier 1,Content Creator,Console,4,No,2L+,Professional,Metal,Dark,4,1,0,0,0,Free Accessory,3947.0,Neutral
21-25,Prefer not to say,Tier 3,Freelancer,PC,1,Yes,<20k,Gaming,Not Sure,White,4,1,0,0,0,20-30%,2980.0,Unlikely
40+,Male,Tier 3,Working Professional,Multiple,4,No,<20k,Gaming,Metal,Anime,5,0,0,0,0,20-30%,3291.0,Neutral
40+,Prefer not to say,Tier 2,Content Creator,PC,5,No,1L-2L,RGB,Metal,Dark,3,0,1,0,1,Free Accessory,3757.0,Neutral
26-30,Prefer not to say,Tier 1,Working Professional,Console,3,Yes,20k-50k,Anime,Not Sure,Custom,1,1,0,1,1,Free Accessory,2740.0,Unlikely
26-30,Female,Tier 1,Content Creator,Console,4,No,<20k,Gaming,ABS,Custom,4,0,0,1,0,20-30%,4071.0,Unlikely
31-40,Prefer not to say,Rural,Working Professional,PC,2,No,50k-1L,Gaming,Not Sure,Anime,2,0,0,0,1,Free Accessory,2684.0,Very unlikely
16-20,Male,Tier 1,Student,PC,1,No,50k-1L,Gaming,ABS,Dark,3,1,0,1,0,10-20%,2193.0,Unlikely
26-30,Male,Tier 1,Content Creator,Mobile,2,Yes,2L+,Minimal,Metal,White,3,0,1,0,0,20-30%,3431.0,Unlikely
26-30,Male,Tier 1,Working Professional,Mobile,2,Yes,<20k,Gaming,Not Sure,White,4,1,1,1,1,20-30%,3026.0,Unlikely
21-25,Male,Tier 1,Working Professional,PC,4,No,2L+,Gaming,PBT,Dark,5,0,1,1,0,5-10%,4149.0,Neutral
40+,Male,Tier 1,Freelancer,Multiple,1,Yes,<20k,Professional,Metal,Custom,4,1,0,0,1,20-30%,2827.0,Unlikely
16-20,Male,Tier 3,Content Creator,PC,3,No,1L-2L,Minimal,Not Sure,Dark,4,0,1,0,0,5-10%,2184.0,Unlikely
21-25,Prefer not to say,Tier 1,Working Professional,PC,2,No,<20k,Gaming,Metal,Custom,5,1,1,0,1,Free Accessory,3382.0,Neutral
31-40,Male,Tier 2,Freelancer,PC,1,Yes,20k-50k,Gaming,Not Sure,Custom,2,1,1,0,1,Free Accessory,1885.0,Very unlikely
31-40,Female,Tier 1,Working Professional,PC,3,No,50k-1L,RGB,ABS,White,5,0,1,1,1,10-20%,3393.0,Neutral
26-30,Female,Tier 1,Content Creator,PC,2,No,1L-2L,RGB,PBT,Anime,4,0,0,1,1,5-10%,3503.0,Unlikely
26-30,Female,Tier 3,Student,Multiple,1,No,50k-1L,Minimal,Metal,RGB,1,1,0,0,1,20-30%,1306.0,Very unlikely
31-40,Prefer not to say,Tier 1,Content Creator,PC,4,No,2L+,Professional,PBT,Dark,5,1,0,1,1,5-10%,4593.0,Neutral
26-30,Male,Tier 3,Content Creator,PC,2,No,1L-2L,Minimal,ABS,Custom,2,1,0,1,0,Free Accessory,3259.0,Unlikely
16-20,Prefer not to say,Tier 2,Working Professional,PC,2,Yes,20k-50k,Minimal,Not Sure,Dark,5,1,1,0,0,Free Accessory,2361.0,Neutral
